mz,intensity,rel.intensity,theo.mass,delta,rdb,composition
663.4435346,288504.9,0.33,663.4421908,2.025492047,12,C41 H62 O4 N P
663.4799347,3648560.5,4.13,663.4785764,2.047286843,11,C42 H66 O3 N P
664.4559359,10128845,11.46,664.4558891,0.070358526,2.5,C34 H67 O9 N P
664.4834359,694866.1,0.79,664.4837213,0.429534146,6,C39 H69 O6 P
665.427337,292335.8,0.33,665.4273286,0.012605154,3,C33 H64 O10 N P
665.4592371,3436793.5,3.89,665.4578409,2.098014826,11,C41 H64 O4 N P
666.4352382,902769.1,1.02,666.4351537,0.126883664,2.5,C33 H65 O10 N P
666.4626383,425979.9,0.48,666.4629859,0.521572883,6,C38 H67 O7 P
666.5315383,262470.1,0.3,666.531423,0.17299454,4.5,C39 H72 O7 N
668.5464407,205264.8,0.23,668.5470731,0.945859342,3.5,C39 H74 O7 N
669.5415419,242412.6,0.27,669.539642,2.837683568,-1,C35 H75 O10 N
670.5626432,260057.6,0.29,670.5627232,0.119312577,2.5,C39 H76 O7 N
672.4973455,1124884.4,1.27,672.49736,0.021609597,3.5,C37 H71 O7 N P
673.4814466,457174.3,0.52,673.4813756,0.105512067,3.5,C37 H70 O8 P
673.5006467,474374.3,0.54,673.4993118,1.981974056,12,C44 H68 O2 N P
674.4759478,342410.9,0.39,674.4763134,0.542086178,8,C40 H66 O8
674.4848478,182563.9,0.21,674.4848668,0.02805324,3.5,C36 H68 O10 N
674.5041479,486087.1,0.55,674.5044568,0.457953088,7,C41 H71 O5 P
675.5074491,518667.7,0.59,675.5079479,0.73851633,7,C40 H69 O7 N
675.7024493,296691.7,0.34,675.7024515,0.003325563,1.5,C46 H91 O2
676.4559502,622006.9,0.7,676.4558891,0.090304198,3.5,C35 H67 O9 N P
676.4919502,1559383,1.76,676.4919635,0.019630666,7,C40 H68 O8
677.4954514,640264.9,0.72,677.4942264,1.808150762,11,C43 H68 O3 N P
677.5139515,360964,0.41,677.5150447,1.61359408,10.5,C44 H69 O5
678.4714526,1111334.1,1.26,678.4715392,0.127595176,2.5,C35 H69 O9 N P
678.4903526,184958.6,0.21,678.4911292,1.144511386,6,C40 H72 O4 P2
678.4983526,397883.6,0.45,678.4993714,1.501461075,6,C40 H71 O6 P
679.4749538,318019.4,0.36,679.473491,2.152873703,11,C42 H66 O4 N P
679.5025538,201474.8,0.23,679.5028626,0.45433209,6,C39 H69 O8 N
680.5754551,645491.4,0.73,680.5752164,0.350761346,3.5,C41 H79 O4 N P
681.5787563,388476,0.44,,,,
681.6150564,265163.3,0.3,,,,
682.5911575,1555825.9,1.76,682.5908665,0.426409428,2.5,C41 H81 O4 N P
683.5944587,953416.5,1.08,,,,
684.5882599,628579.6,0.71,,,,
684.5978599,569271.2,0.64,684.5979632,0.150885185,6,C45 H81 O2 P
684.6067599,946901,1.07,684.6065165,0.355542688,1.5,C41 H83 O4 N P
685.529061,453525.3,0.51,685.5286834,0.550895479,8,C42 H71 O6 N
685.5916611,257431.3,0.29,685.5905321,1.64675384,1.5,C41 H82 O5 P
685.6100611,328770.3,0.37,,,,
686.5134622,187648.1,0.21,686.5130101,0.658615629,3.5,C38 H73 O7 N P
686.6040623,531820.4,0.6,,,,
686.6134623,339851.1,0.38,686.6136133,0.21985012,5,C45 H83 O2 P
687.5447634,6547603.5,7.41,687.5443334,0.625411793,7,C42 H73 O6 N
688.4922646,281182.6,0.32,688.4922746,0.014586216,3.5,C37 H71 O8 N P
688.5479646,2800822.8,3.17,688.5482501,0.414608924,6,C43 H78 O2 P2
689.5514658,1850329,2.09,689.5514302,0.051685226,10.5,C46 H73 O4
689.5602658,383419.3,0.43,689.5599835,0.409452401,6,C42 H75 O6 N
689.718166,326193.6,0.37,689.7181016,0.093419786,1.5,C47 H93 O2
690.507667,267442.3,0.3,690.5076136,0.077335024,7,C41 H70 O8
690.554967,634359.9,0.72,690.5568862,2.779231306,1,C39 H79 O7 P
691.5026682,300959.3,0.34,691.5028626,0.281102348,7,C40 H69 O8 N
