m/z,Intensity,Relative
800.5304,300237.3,0.34
800.544,681700.8,0.77
800.5631,182434.8,0.21
801.5401,331656.9,0.38
801.5474,215737,0.24
801.5763,244059.7,0.28
802.539,285326.4,0.32
802.5599,794016.6,0.9
803.5553,745707.4,0.84
804.5557,300022.4,0.34
804.5617,333624.3,0.38
804.5756,608218.9,0.69
804.6237,193543.2,0.22
805.5707,1617283.4,1.83
805.6077,197131.3,0.22
806.5552,821580.7,0.93
806.5648,614452.9,0.7
806.5757,695398.3,0.79
807.5584,332412.8,0.38
807.5849,1043060.6,1.18
808.5132,1137510.9,1.29
808.5496,838891.8,0.95
808.5811,1738076.8,1.97
809.5165,587933.7,0.67
809.5519,516594.3,0.58
809.5656,483701.7,0.55
809.5849,1069304,1.21
810.5288,7523437.5,8.51
810.5651,1085156.9,1.23
810.5757,266590.5,0.3
810.5882,991822.6,1.12
811.532,4269822,4.83
811.5607,1196003.1,1.35
811.5767,383265.7,0.43
811.5909,445531.6,0.5
811.5986,299159.2,0.34
812.5441,6762250.5,7.65
812.564,660664.9,0.75
812.5811,228937.1,0.26
812.5938,569504.6,0.64
813.5394,5592889,6.33
813.5754,539778.2,0.61
813.5983,210725.2,0.24
814.5428,2794245.8,3.16
815.5542,3615904,4.09
816.5576,1732000.8,1.96
816.5759,577172.4,0.65
817.5609,1128856.8,1.28
818.534,185749.5,0.21
818.5637,684580.8,0.77
819.5181,1289805.8,1.46
819.5677,448898.6,0.51
819.5857,286615.5,0.32
820.5212,671381.6,0.76
820.5497,650900.6,0.74
820.5706,341472.2,0.39
821.5327,546894.6,0.62
821.5529,311772.3,0.35
821.5655,204510.6,0.23
822.5289,619889.4,0.7
822.5651,737188.3,0.83
823.5316,369427.2,0.42
823.5613,257341.8,0.29
823.5672,262693.8,0.3
823.5805,190853,0.22
824.544,768000.7,0.87
824.5601,190423.3,0.22
824.581,302648,0.34
825.5392,670367.1,0.76
825.5756,293164.3,0.33
826.5424,221988.2,0.25
826.5599,916920.6,1.04
827.5549,1273476.4,1.44
828.5572,631779.4,0.71
828.57,323586.6,0.37
829.5703,1069447.3,1.21
830.5656,1193306.6,1.35
830.5913,383969.4,0.43
830.6397,212914.2,0.24
831.5167,196978.7,0.22
831.5693,685846.1,0.78
831.5864,873085.2,0.99
832.5725,740856.4,0.84
832.6068,220190.8,0.25
832.6549,548083.6,0.62
833.5754,348119.5,0.39
833.5849,326834.1,0.37
833.6017,859736.6,0.97
834.5288,3299795.8,3.73
834.5865,714485.1,0.81
834.5964,701953.7,0.79
835.5323,2070419,2.34
835.5619,199353.2,0.23
835.5819,486245.9,0.55
835.6031,440474.3,0.5
835.6085,454066.3,0.51
836.5442,4369096,4.94
836.5811,404136.8,0.46
836.5928,339200,0.38
836.612,648117.3,0.73
837.5398,3303444,3.74
837.5766,713767.8,0.81
837.5965,902957.7,1.02
837.616,384253.9,0.43
838.5433,2167332,2.45
838.5593,2280832.3,2.58
838.5803,276422.3,0.31
838.599,470266.5,0.53
838.6189,320318.5,0.36
839.5545,3592782.8,4.07
839.5923,539186.6,0.61
839.6031,431757.8,0.49
840.558,2047289.8,2.32
840.5754,1922018.1,2.18
840.5949,225965.1,0.26
841.5695,1658337.9,1.88
841.6087,243695.9,0.28
842.5726,1049289,1.19
842.5906,513090,0.58
843.5176,197217.8,0.22
843.5503,178081.9,0.2
843.5703,596047.1,0.67
843.5854,946937.1,1.07
844.5642,466299.3,0.53
844.5802,418433.9,0.47
844.5879,401770.9,0.45
844.6069,498052.9,0.56
845.5651,411717.7,0.47
845.5917,310985.5,0.35
845.6015,257569.1,0.29
846.4957,190022.3,0.22
846.559,183873.2,0.21
847.5715,488814.5,0.55
849.586,508487.4,0.58
850.5598,266421.2,0.3
850.5751,409827.1,0.46
850.5895,267334.4,0.3
851.5566,235506.6,0.27
851.5918,227405.5,0.26
852.5589,186811.8,0.21
852.5752,490801.5,0.56
852.5904,198317.7,0.22
853.5711,1025282.3,1.16
854.574,576215.7,0.65
854.5911,805745,0.91
855.5863,1962581.9,2.22
856.5377,196105,0.22
856.5883,1034582.7,1.17
856.6036,262519.5,0.3
856.655,239676.5,0.27
857.5183,1626715.5,1.84
857.6013,1111033.9,1.26
857.6752,597307.8,0.68
858.5211,899937.6,1.02
858.5967,1559566.4,1.76
858.6704,1550108.4,1.75
859.526,969005.4,1.1
859.5467,387882.6,0.44
859.5812,528874.8,0.6
859.6,640149.8,0.72
859.6739,735311.9,0.83
859.6907,335528.5,0.38
860.5285,3659504.5,4.14
860.5503,246291.5,0.28
860.5862,287068.2,0.32
860.6033,771679.3,0.87
860.6855,722920.5,0.82
861.5318,2227554.8,2.52
861.5487,883334.3,1
861.6038,376778.2,0.43
861.6706,307640.7,0.35
861.6891,389510.7,0.44
862.5355,1894106,2.14
862.618,343827.1,0.39
863.5388,1176785,1.33
863.5647,1195675.9,1.35
863.6123,462109.1,0.52
864.5428,1164916,1.32
864.5594,1493572,1.69
864.6176,224621.3,0.25
865.5021,625047.9,0.71
865.5467,640660.7,0.72
865.5623,771491.8,0.87
865.6276,351587.9,0.4
866.5058,341551.1,0.39
866.5496,440278.6,0.5
866.5658,700697.8,0.79
866.5742,576985.3,0.65
866.5913,478601.6,0.54
867.5174,507437.2,0.57
867.5394,328201.6,0.37
867.5523,256141.5,0.29
867.5702,362743.8,0.41
867.5776,317363.9,0.36
867.5945,260298.6,0.29
868.5208,206130.5,0.23
868.5601,183983.3,0.21
868.5731,440795.2,0.5
868.607,427191.6,0.48
869.5546,2894212.8,3.28
869.5756,224660.3,0.25
869.6016,233327.5,0.26
870.558,1637507.8,1.85
870.5789,183050.6,0.21
871.5342,395360.2,0.45
871.5703,2649094.3,3
871.6169,252313.7,0.29
872.5361,253986.8,0.29
872.5732,1363788.3,1.54
873.5492,309435,0.35
873.5858,820889.3,0.93
874.5444,811909.4,0.92
874.5841,446407.5,0.51
875.5474,418734.2,0.47
876.5594,481040.8,0.54
877.562,362819.8,0.41
878.5658,214158.9,0.24
879.5871,185736.4,0.21
880.5733,191863.8,0.22
881.5178,356303.2,0.4
881.5322,327113.3,0.37
881.6017,179014.7,0.2
882.5216,190533,0.22
882.587,327148.8,0.37
883.5339,9273827,10.49
884.5371,5043780.5,5.71
884.6021,709641.4,0.8
885.5495,54320192,61.47
885.5643,182964.6,0.21
885.5992,420632.8,0.48
885.6044,418582.9,0.47
886.5525,29226088,33.07
886.6119,254268.3,0.29
887.5562,20816118,23.56
887.6125,631481.4,0.71
887.6857,653250.6,0.74
888.5595,45985500,52.04
888.6165,320276.2,0.36
888.6894,324743.5,0.37
889.5629,25380230,28.72
889.7003,306044.7,0.35
890.5664,16183589,18.31
891.5698,8929499,10.11
892.573,6328348.5,7.16
893.5764,3431078.3,3.88
894.5797,3332838,3.77
895.5721,355419.1,0.4
895.583,1517246.1,1.72
896.5729,226807,0.26
896.5868,1107175.3,1.25
897.5898,453766,0.51
898.5934,282262.5,0.32
901.5444,257827.3,0.29
904.5546,278451.3,0.32
906.5525,222900.9,0.25
909.5488,394254.3,0.45
909.6368,246050.3,0.28
911.5647,828456.2,0.94
912.5608,610741.9,0.69
913.572,344538.5,0.39
914.5751,1066153.6,1.21
915.5601,473308.4,0.54
915.5787,556344.8,0.63
916.5633,202688.5,0.23
916.5845,373862.3,0.42
916.5887,381637.1,0.43
917.5394,384047.8,0.43
917.5758,505755.7,0.57
918.5707,409978.3,0.46
919.5735,195111,0.22
920.5501,274665.9,0.31
920.5858,458399.3,0.52
932.7321,767026.7,0.87
933.7354,397415,0.45
