SPECTRUM - MS,,,,,,
20230108_control1_Recal.raw,,,,,,
FTMS - p ESI Full ms [450.00-950.00],,,,,,
Scan #: 162-181,,,,,,
RT: 4.33-4.84,,,,,,
AV: 20,,do not copy this header--only copy rows 8-1008,,,,
,,,,,,
m/z,Intensity,Relative,Theo. Mass,Delta (mmu),RDB equiv.,Composition
881.5178,356303.2,0.4,881.5186,-0.75,9.5,C47 H78 O13 P 
881.5322,327113.3,0.37,881.5186,13.61,9.5,C47 H78 O13 P 
881.6017,179014.7,0.2,881.6035,-1.77,3.5,C44 [13]C2 H88 O13 P 
882.5216,190533,0.22,882.5219,-0.28,9.5,C46 [13]C H78 O13 P 
882.587,327148.8,0.37,882.589,-2.01,5.5,C39 [13]C7 H84 O13 P 
883.5339,9273827,10.49,883.5342,-0.3,8.5,C47 H80 O13 P 
884.5371,5043780.5,5.71,884.5376,-0.44,8.5,C46 [13]C H80 O13 P 
884.6021,709641.4,0.8,884.6002,1.98,5,C38 [13]C8 H85 O13 P 
885.5495,54320192,61.47,885.5499,-0.38,7.5,C47 H82 O13 P 
885.5643,182964.6,0.21,885.5499,14.45,7.5,C47 H82 O13 P 
885.5992,420632.8,0.48,885.5991,0.19,5.5,C36 [13]C10 H84 O13 P 
885.6044,418582.9,0.47,885.6035,0.9,5,C37 [13]C9 H85 O13 P 
886.5525,29226088,33.07,886.5532,-0.67,7.5,C46 [13]C H82 O13 P 
886.6119,254268.3,0.29,886.6113,0.53,4.5,C37 [13]C9 H86 O13 P 
887.5562,20816118,23.56,887.5566,-0.37,7.5,C45 [13]C2 H82 O13 P 
887.6125,631481.4,0.71,887.6147,-2.2,4.5,C36 [13]C10 H86 O13 P 
887.6857,653250.6,0.74,887.6594,26.29,-0.5,C46 H96 O13 P 
888.5595,45985500,52.04,888.5599,-0.38,7.5,C44 [13]C3 H82 O13 P 
888.6165,320276.2,0.36,888.6225,-6.05,4,C36 [13]C10 H87 O13 P 
888.6894,324743.5,0.37,888.6672,22.13,-1,C46 H97 O13 P 
889.5629,25380230,28.72,889.5633,-0.41,7.5,C43 [13]C4 H82 O13 P 
889.7003,306044.7,0.35,889.6706,29.68,-1,C45 [13]C H97 O13 P 
890.5664,16183589,18.31,890.5666,-0.26,7.5,C42 [13]C5 H82 O13 P 
891.5698,8929499,10.11,891.57,-0.21,7.5,C41 [13]C6 H82 O13 P 
892.573,6328348.5,7.16,892.5733,-0.36,7.5,C40 [13]C7 H82 O13 P 
893.5764,3431078.3,3.88,893.5767,-0.32,7.5,C39 [13]C8 H82 O13 P 
894.5797,3332838,3.77,894.58,-0.33,7.5,C38 [13]C9 H82 O13 P 
895.5721,355419.1,0.4,895.5834,-11.27,7.5,C37 [13]C10 H82 O13 P 
895.583,1517246.1,1.72,895.5834,-0.43,7.5,C37 [13]C10 H82 O13 P 
896.5729,226807,0.26,896.5912,-18.34,7,C37 [13]C10 H83 O13 P 
896.5868,1107175.3,1.25,896.5912,-4.39,7,C37 [13]C10 H83 O13 P 
897.5898,453766,0.51,897.5991,-9.23,6.5,C37 [13]C10 H84 O13 P 
898.5934,282262.5,0.32,898.6069,-13.44,6,C37 [13]C10 H85 O13 P 
901.5444,257827.3,0.29,901.5454,-0.98,10.5,C40 [13]C8 H78 O13 P 
904.5546,278451.3,0.32,904.5599,-5.32,10,C38 [13]C10 H79 O13 P 
906.5525,222900.9,0.25,906.5756,-23.08,9,C38 [13]C10 H81 O13 P 
909.5488,394254.3,0.45,909.5499,-1.06,9.5,C49 H82 O13 P 
909.6368,246050.3,0.28,909.6348,2.03,3.5,C46 [13]C2 H92 O13 P 
911.5647,828456.2,0.94,911.5655,-0.79,8.5,C49 H84 O13 P 
912.5608,610741.9,0.69,912.5599,0.89,9.5,C46 [13]C3 H82 O13 P 
913.572,344538.5,0.39,913.5722,-0.26,8.5,C47 [13]C2 H84 O13 P 
914.5751,1066153.6,1.21,914.5756,-0.43,8.5,C46 [13]C3 H84 O13 P 
915.5601,473308.4,0.54,915.561,-0.92,10.5,C41 [13]C8 H80 O13 P 
915.5787,556344.8,0.63,915.5789,-0.19,8.5,C45 [13]C4 H84 O13 P 
916.5633,202688.5,0.23,916.5644,-1.13,10.5,C40 [13]C9 H80 O13 P 
916.5845,373862.3,0.42,916.5867,-2.21,8,C45 [13]C4 H85 O13 P 
916.5887,381637.1,0.43,916.5867,1.96,8,C45 [13]C4 H85 O13 P 
917.5394,384047.8,0.43,917.5186,20.83,12.5,C50 H78 O13 P 
917.5758,505755.7,0.57,917.5767,-0.91,9.5,C41 [13]C8 H82 O13 P 
918.5707,409978.3,0.46,918.5756,-4.89,10,C39 [13]C10 H81 O13 P 
919.5735,195111,0.22,919.5834,-9.93,9.5,C39 [13]C10 H82 O13 P 
920.5501,274665.9,0.31,920.542,8.07,11,C50 H81 O13 P 
920.5858,458399.3,0.52,920.5912,-5.39,9,C39 [13]C10 H83 O13 P 
932.7321,767026.7,0.87,932.7209,11.25,-1,C47 [13]C2 H103 O13 P 
933.7354,397415,0.45,933.7242,11.16,-1,C46 [13]C3 H103 O13 P 
